"Title:","Vehicle Miles Traveled from the Vehicle Miles Traveled Database"
"SubTitle:","State"
"Time:","2004 - 2021"
"Unit of Measure:","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles"
"Citation:","Office of Highway Policy Information, Federal Highway Administration (2022-11-13). Vehicle Miles Traveled: Vehicle Miles Traveled | Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, 2004 - 2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  013-009-001 doi:https://doi.org/10.6068/DP184765E77298"
"ColumnCount:",52
"RowCount:",18

"Time","Alabama (Miles)","Alaska (Miles)","Arizona (Miles)","Arkansas (Miles)","California (Miles)","Colorado (Miles)","Connecticut (Miles)","Delaware (Miles)","Florida (Miles)","Georgia (Miles)","Hawaii (Miles)","Idaho (Miles)","Illinois (Miles)","Indiana (Miles)","Iowa (Miles)","Kansas (Miles)","Kentucky (Miles)","Louisiana (Miles)","Maine (Miles)","Maryland (Miles)","Massachusetts (Miles)","Michigan (Miles)","Minnesota (Miles)","Mississippi (Miles)","Missouri (Miles)","Montana (Miles)","Nebraska (Miles)","Nevada (Miles)","New Hampshire (Miles)","New Jersey (Miles)","New Mexico (Miles)","New York (Miles)","North Carolina (Miles)","North Dakota (Miles)","Ohio (Miles)","Oklahoma (Miles)","Oregon (Miles)","Pennsylvania (Miles)","Rhode Island (Miles)","South Carolina (Miles)","South Dakota (Miles)","Tennessee (Miles)","Texas (Miles)","Utah (Miles)","Vermont (Miles)","Virginia (Miles)","Washington (Miles)","Washington DC (Miles)","West Virginia (Miles)","Wisconsin (Miles)","Wyoming (Miles)"
"2004",58951000000,4982000000,53781000000,30614000000,332798000000,44484000000,31358000000,9296000000,187926000000,110063000000,9208000000,14470000000,106642000000,73076000000,31167000000,28298000000,46716000000,43984000000,14870000000,54735000000,53621000000,99511000000,55809000000,37863000000,68502000000,10872000000,19080000000,19581000000,13100000000,69435000000,23588000000,133599000000,94032000000,7505000000,110649000000,46521000000,35393000000,104770000000,8003000000,48961000000,8615000000,70699000000,226382000000,24467000000,9256000000,80214000000,55346000000,3967000000,20116000000,59854000000,9167000000
"2005",59123000000,4979000000,57284000000,30683000000,331337000000,45907000000,31495000000,9312000000,192747000000,111840000000,9893000000,14759000000,107800000000,71777000000,31088000000,28434000000,46481000000,44792000000,14942000000,55891000000,53662000000,98045000000,56548000000,39403000000,67900000000,11138000000,19294000000,19898000000,13293000000,70250000000,23418000000,136727000000,94552000000,7570000000,110207000000,45726000000,34632000000,106925000000,8127000000,49877000000,8541000000,70430000000,225587000000,24674000000,8274000000,80265000000,55467000000,3721000000,19913000000,59591000000,9533000000
"2006",59274000000,4901000000,59706000000,30961000000,337336000000,45870000000,31031000000,9332000000,199847000000,113725000000,9995000000,15358000000,108263000000,71887000000,31138000000,28416000000,47007000000,46063000000,14525000000,55421000000,52593000000,99058000000,56866000000,40588000000,68676000000,11259000000,19058000000,20129000000,13117000000,72324000000,24140000000,137210000000,96946000000,7485000000,109214000000,46736000000,35655000000,108160000000,8294000000,50929000000,8568000000,70626000000,237477000000,25632000000,7575000000,80566000000,56150000000,3763000000,19868000000,59617000000,9360000000
"2007",50332000000,4114000000,50728000000,26663000000,277720000000,38837000000,26087000000,7768000000,170322000000,96147000000,7679000000,12646000000,87355000000,58207000000,25263000000,23791000000,39301000000,37299000000,12200000000,46298000000,45673000000,85581000000,46473000000,33770000000,56960000000,10014000000,15788000000,17459000000,11119000000,60404000000,20193000000,115252000000,85740000000,6412000000,89958000000,38756000000,29150000000,89787000000,6623000000,42651000000,7000000000,59685000000,194737000000,21709000000,6494000000,67363000000,45821000000,3084000000,16615000000,48793000000,7557000000
"2008",57346000000,4825000000,59372000000,31009000000,316353000000,46120000000,30994000000,9161000000,194500000000,108855000000,9881000000,14563000000,99912000000,68306000000,30064000000,28645000000,45313000000,44612000000,14151000000,54380000000,53583000000,98149000000,54435000000,39477000000,66961000000,11127000000,19093000000,20509000000,13023000000,71840000000,24403000000,135790000000,98132000000,7855000000,106818000000,47144000000,33578000000,106011000000,8081000000,48316000000,8776000000,67248000000,235324000000,24902000000,7402000000,78315000000,53830000000,3737000000,19591000000,56968000000,9270000000
